mode,month,dtrip,dtrip_y2,expansion_factor,draw
pr,8,251750.6694335938,260645.5537109375,1.0353321,35
sh,8,428161.5454101563,447381.900390625,1.0448904,35
fh,9,839.2385749816895,839.1301498413086,.99987078,35
pr,9,178101.412109375,168840.1514892578,.94800007,35
sh,9,39595.04663085938,37169.36595153809,.93873775,35
fh,10,2795.491996765137,2825.783042907715,1.0108356,35
pr,10,37742.55194091797,37037.71520996094,.98132515,35
sh,10,45793.46166992188,49316.03564453125,1.0769231,35
fh,11,975.8911361694336,938.2980041503906,.96147817,35
pr,11,104660.267578125,86190.80859375,.82352942,35
sh,11,0,0,1,35
fh,12,1441.423072814941,1729.70768737793,1.2,35
pr,12,0,0,1,35
sh,12,0,0,1,35
fh,1,0,0,1,36
pr,1,0,0,1,36
sh,1,0,0,1,36
fh,2,0,0,1,36
pr,2,0,0,1,36
sh,2,0,0,1,36
fh,3,0,0,1,36
pr,3,0,0,1,36
sh,3,0,0,1,36
fh,4,0,0,1,36
pr,4,3503.628295898438,3503.628295898438,1,36
sh,4,3340.498901367188,3340.498901367188,1,36
fh,5,382.2647438049316,409.5693683624268,1.0714285,36
pr,5,20313.27872848511,21648.50054931641,1.0657315,36
sh,5,26404.685546875,26969.21301269531,1.0213798,36
fh,6,699.0398597717285,691.7347640991211,.98954982,36
pr,6,48339.66796875,48241.62646484375,.99797183,36
sh,6,216531.0571289063,213366.453125,.985385,36
fh,7,3093.587142944336,3130.570083618164,1.0119547,36
pr,7,304987.29296875,305461.9921875,1.0015564,36
sh,7,341794.0283203125,332130.5327148438,.97172713,36
fh,8,2059.286109924316,2054.633045196533,.99774045,36
pr,8,192163.7041015625,196426.091796875,1.022181,36
sh,8,277839.9360351563,284513.6201171875,1.0240198,36
fh,9,774.7119407653809,780.6054172515869,1.0076073,36
pr,9,178311.412109375,172276.3654785156,.96615446,36
sh,9,27736.29663085938,26741.13970947266,.96412075,36
fh,10,4385.803237915039,4393.199890136719,1.0016865,36
pr,10,80908.91650390625,84048.92333984375,1.0388092,36
sh,10,18844.845703125,20294.44921875,1.0769231,36
fh,11,1106.799875259399,1062.415000915527,.95989799,36
pr,11,124853.0883789063,102820.1904296875,.82352942,36
sh,11,0,0,1,36
fh,12,338.2320785522461,405.8784942626953,1.2,36
pr,12,0,0,1,36
sh,12,0,0,1,36
fh,1,0,0,1,37
pr,1,0,0,1,37
sh,1,0,0,1,37
fh,2,0,0,1,37
pr,2,0,0,1,37
sh,2,0,0,1,37
fh,3,0,0,1,37
pr,3,0,0,1,37
sh,3,0,0,1,37
fh,4,0,0,1,37
pr,4,4140.891723632813,4140.891723632813,1,37
sh,4,4311.337280273438,4311.337280273438,1,37
fh,5,883.0830516815186,926.739128112793,1.049436,37
pr,5,16967.73146057129,17886.7578125,1.0541632,37
sh,5,21726.5700378418,22399.79711914063,1.0309863,37
fh,6,874.9980068206787,864.5038604736328,.98800665,37
pr,6,62961.87377929688,63080.67529296875,1.0018868,37
sh,6,193069.0246582031,184301.328125,.95458776,37
fh,7,3061.303504943848,3095.879386901855,1.0112945,37
pr,7,327196.423828125,329897.46484375,1.0082551,37
sh,7,429004.7080078125,408677.4506835938,.95261765,37
fh,8,2754.541854858398,2673.812232971191,.97069216,37
pr,8,262928.0366210938,268953.2578125,1.0229158,37
sh,8,307435.49609375,309707.8779296875,1.0073915,37
fh,9,833.8479766845703,812.0490474700928,.9738574,37
